lambda,grocery_cost,waste_cost_raw,waste_penalty,total_obj
0.0,99.24999999999999,65.7079091385764,0.0,99.25
0.1,99.24999999999999,64.79673031504699,6.479673031504699,105.7296730315047
0.25,99.24999999999999,64.79673031504699,16.199182578761746,115.44918257876175
0.5,99.74999999999999,63.256802152046085,31.628401076023042,131.378400353687
0.75,99.74999999999999,63.256802874386516,47.442602155789885,147.19260215578993
1.0,99.74999999999999,63.256802874386516,63.256802874386516,163.00680287438652
1.5,99.74999999999999,63.256802874386516,94.88520431157977,194.63520431157977
2.0,99.74999999999999,63.256802874386516,126.51360574877303,226.26360574877302
